H57,H47,H35,Mean57,SD57,Max57,Min57,Mean47,SD47,Max47,Min47,Mean35,SD35,Max35,Min35,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
57,47,35,8.25,1.98,12.96,3.41,8.39,1.98,13.34,3.41,8.58,1.74,13.73,3.41,223,13,215,0,18.6,0,19,18.4,11/16/2010,14:10:00
57,47,35,8.35,1.74,12.2,4.17,8.73,1.67,12.59,4.94,9.32,1.67,13.34,4.56,219,10,209,0,18.8,0,19,18.4,11/16/2010,14:20:00
57,47,35,8.25,1.74,12.59,4.56,8.84,1.67,13.73,4.94,9.22,1.67,13.34,5.32,225,14,205,0,18.7,0,19,18.4,11/16/2010,14:30:00
57,47,35,8.38,2.16,14.14,4.56,8.83,2.26,14.87,4.56,9.43,2.26,14.87,4.56,223,11,206,0,18.3,0.2,18.7,17.9,11/16/2010,14:40:00
57,47,35,8.81,2.26,14.14,3.8,9.04,2.16,13.73,4.94,9.43,1.82,13.73,5.32,231,14,192,0,18.6,0,19,18.4,11/16/2010,14:50:00
57,47,35,8.01,2.16,13.34,3.8,8.32,2.07,12.96,3.41,8.71,1.98,12.96,3.41,230,14,206,0,18.6,0,18.7,18.4,11/16/2010,15:00:00
57,47,35,8.63,1.6,12.59,3.8,8.89,1.6,12.96,3.8,9.6,1.4,12.59,5.32,235,9,234,0,18.6,0,18.7,18.4,11/16/2010,15:10:00
57,47,35,7.22,2.16,13.34,3.03,7.59,2.26,14.52,3.41,8.29,2.36,14.14,3.41,229,11,234,0,18.6,0,19,18.4,11/16/2010,15:20:00
57,47,35,8.93,1.67,12.96,5.32,9.27,1.82,14.87,6.09,9.98,2.07,15.27,5.32,234,8,247,0,18.6,0,19,18.4,11/16/2010,15:30:00
57,47,35,8.65,2.07,12.96,3.03,9.05,1.9,12.96,4.56,9.85,1.9,14.14,3.8,225,9,235,0,18.5,0,18.7,18.4,11/16/2010,15:40:00
57,47,35,9.74,1.47,13.73,5.71,10.09,1.47,14.14,5.32,10.8,1.47,14.52,6.47,230,7,243,0,18.5,0,18.7,18.4,11/16/2010,15:50:00
57,47,35,8.46,1.82,12.96,4.17,8.91,1.82,12.96,4.56,9.6,1.6,12.96,4.94,227,10,236,0,18.6,0,19,18.4,11/16/2010,16:00:00
57,47,35,9.89,1.82,14.87,5.32,10.28,1.67,14.52,5.71,10.82,1.53,14.87,6.85,235,7,245,0,18.7,0,19,18.7,11/16/2010,16:10:00
57,47,35,10.13,1.67,14.52,4.94,10.53,1.67,14.52,5.71,10.9,1.67,15.27,6.47,231,8,229,0,18.8,0,19,18.7,11/16/2010,16:20:00
57,47,35,8.66,1.82,14.14,3.41,8.88,1.74,14.52,4.94,9.36,1.74,14.52,4.56,224,9,236,0,18.6,0,19,18.4,11/16/2010,16:30:00
57,47,35,9.83,1.9,14.52,5.71,10.23,1.82,14.52,6.09,10.65,1.67,14.14,6.47,222,8,202,0,18.6,0,18.7,18.4,11/16/2010,16:40:00
