Date,Max49
7/3/2003,5.71
7/3/2003,6.47
7/3/2003,5.71
7/3/2003,4.56
7/3/2003,4.17
7/3/2003,3.41
7/3/2003,3.41
7/3/2003,3.03
7/3/2003,2.65
7/3/2003,2.65
7/3/2003,2.65
7/3/2003,1.88
7/3/2003,2.26
7/3/2003,2.65
7/3/2003,3.03
7/3/2003,3.03
7/3/2003,3.03
7/3/2003,2.65
7/3/2003,3.03
7/3/2003,2.65
7/3/2003,2.26
7/3/2003,2.65
7/3/2003,2.65
7/3/2003,2.26
7/3/2003,1.88
7/3/2003,3.03
7/3/2003,3.41
7/3/2003,2.65
7/3/2003,2.65
7/3/2003,2.65
7/3/2003,3.03
7/3/2003,3.03
7/3/2003,3.8
7/3/2003,4.17
7/3/2003,4.17
7/3/2003,2.65
7/3/2003,2.65
7/3/2003,2.26
7/3/2003,2.65
7/3/2003,3.41
7/4/2003,3.41
7/4/2003,3.41
7/4/2003,3.03
7/4/2003,3.03
7/4/2003,3.8
7/4/2003,4.17
7/4/2003,4.17
7/4/2003,3.41
7/4/2003,4.17
7/4/2003,5.32
7/4/2003,4.94
7/4/2003,4.94
7/4/2003,4.94
7/4/2003,4.94
7/4/2003,4.94
7/4/2003,5.71
7/4/2003,5.71
7/4/2003,5.32
7/4/2003,5.32
7/4/2003,5.71
7/4/2003,6.47
7/4/2003,6.47
7/4/2003,22.92
7/4/2003,24.05
7/4/2003,21.39
7/4/2003,15.27
7/4/2003,12.59
7/4/2003,11.07
7/4/2003,11.07
7/4/2003,12.59
7/4/2003,13.73
7/4/2003,15.27
7/4/2003,11.07
7/4/2003,10.67
7/4/2003,10.67
7/4/2003,9.54
7/4/2003,8.77
7/4/2003,7.99
7/4/2003,8.37
7/4/2003,8.77
7/4/2003,6.85
7/4/2003,6.47
7/4/2003,5.71
7/4/2003,6.47
7/4/2003,5.71
7/4/2003,5.32
7/4/2003,5.71
7/4/2003,4.56
7/4/2003,3.41
7/4/2003,1.88
7/4/2003,3.03
7/4/2003,3.41
7/4/2003,5.32
7/4/2003,6.47
7/4/2003,7.24
7/4/2003,6.85
7/4/2003,5.71
7/4/2003,4.94
7/4/2003,5.32
7/4/2003,6.47
7/4/2003,7.61
7/4/2003,7.61
7/4/2003,9.54
7/4/2003,9.54
7/4/2003,9.54
7/4/2003,9.54
7/4/2003,12.96
7/4/2003,14.14
7/4/2003,14.87
7/4/2003,16.4
7/4/2003,15.27
7/4/2003,16.4
7/4/2003,14.87
7/4/2003,14.52
7/4/2003,12.59
7/4/2003,9.92
7/4/2003,9.54
7/4/2003,10.29
7/4/2003,9.92
7/4/2003,9.15
7/4/2003,9.15
7/4/2003,6.85
7/4/2003,6.09
7/4/2003,4.17
7/4/2003,4.56
7/4/2003,3.03
7/4/2003,3.8
7/4/2003,5.32
7/4/2003,5.32
7/4/2003,5.71
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,5.71
7/4/2003,6.09
7/4/2003,4.56
7/4/2003,4.17
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,6.47
7/4/2003,6.09
7/4/2003,6.09
7/4/2003,5.71
7/4/2003,5.71
7/4/2003,6.47
7/4/2003,6.85
7/4/2003,6.47
7/4/2003,7.61
7/4/2003,7.99
7/4/2003,6.47
7/4/2003,6.09
7/4/2003,6.09
7/4/2003,6.09
7/4/2003,5.71
7/4/2003,6.09
7/4/2003,7.24
7/4/2003,7.99
7/4/2003,7.61
7/4/2003,7.24
7/4/2003,6.09
7/4/2003,6.09
7/4/2003,5.71
7/4/2003,6.09
7/4/2003,5.32
7/4/2003,6.09
7/4/2003,6.09
7/4/2003,5.71
7/4/2003,5.71
7/4/2003,6.09
7/4/2003,4.56
7/4/2003,5.71
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,3.8
7/4/2003,3.41
7/4/2003,3.8
7/4/2003,3.41
7/4/2003,3.8
7/4/2003,4.94
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,4.56
7/4/2003,4.94
7/5/2003,6.09
7/5/2003,6.47
7/5/2003,6.47
7/5/2003,5.71
7/5/2003,5.71
7/5/2003,6.47
7/5/2003,6.47
7/5/2003,6.85
7/5/2003,7.61
7/5/2003,11.82
7/5/2003,7.61
7/5/2003,8.77
7/5/2003,10.67
7/5/2003,11.45
7/5/2003,12.59
7/5/2003,10.29
7/5/2003,10.67
7/5/2003,12.2
7/5/2003,11.07
7/5/2003,13.73
7/5/2003,13.73
7/5/2003,13.73
7/5/2003,9.54
7/5/2003,7.24
7/5/2003,7.24
7/5/2003,4.56
7/5/2003,5.71
7/5/2003,4.94
7/5/2003,6.85
7/5/2003,6.47
7/5/2003,5.71
7/5/2003,5.32
7/5/2003,5.32
7/5/2003,3.41
7/5/2003,3.8
7/5/2003,3.03
7/5/2003,3.03
7/5/2003,0.73
7/5/2003,3.03
7/5/2003,3.8
7/5/2003,4.56
7/5/2003,5.32
7/5/2003,6.47
7/5/2003,6.47
7/5/2003,4.17
7/5/2003,4.17
7/5/2003,3.8
7/5/2003,3.03
7/5/2003,2.26
7/5/2003,3.03
7/5/2003,3.41
7/5/2003,2.65
7/5/2003,3.41
7/5/2003,3.41
7/5/2003,3.8
7/5/2003,2.65
7/5/2003,3.03
7/5/2003,2.26
7/5/2003,2.26
